nasa_host,planet_count,status,hyg_id,hyg_name,hyg_distance_ly,nasa_distance_ly,method,evidence,angular_separation_arcsec,distance_difference_percent,candidate_hyg_ids,notes
Barnard's star,4,matched_selected,87665,Barnard's Star,5.948440016797965,5.957409317185175,catalog identifier,Barnard's star,161.01488558166088,0.150784077201437,,
CD Cet,1,matched_selected,118201,GJ 1057,27.616965126787523,28.072768664646677,verified alias,GJ 1057; https://www.aanda.org/articles/aa/pdf/2020/08/aa38031-20.pdf; Variable-star designation absent in HYG,36.75495988180618,1.6504475990268697,,
CD-35 2722 B,1,unmatched_other,,,,,unassigned,CD-35 2722 B,,,,Position candidates require review; component identity is preserved.
CFBDSIR J145829+101343,1,unmatched_other,,,,,unassigned,CFBDSIR J145829+101343,,,,Position candidates require review; component identity is preserved.
CFHTWIR-Oph 98 A,1,unmatched_other,,,,,unassigned,CFHTWIR-Oph 98 A,,,,Position candidates require review; component identity is preserved.
CHXR 73,1,unmatched_other,,,,620.9169425144729,unassigned,CHXR 73,,,,Position candidates require review; component identity is preserved.
CI Tau,1,unmatched_other,,,,515.3205536649001,unassigned,CI Tau,,,,Position candidates require review; component identity is preserved.
COCONUTS-2 A,1,unmatched_other,,,,35.50668790375555,unassigned,COCONUTS-2 A,,,,Position candidates require review; component identity is preserved.
CT Cha,1,unmatched_other,,,,622.0454435813729,unassigned,CT Cha,,,,Position candidates require review; component identity is preserved.
CWISEP J193518.59-154620.3,1,unmatched_other,,,,47.06436530452606,unassigned,CWISEP J193518.59-154620.3,,,,Position candidates require review; component identity is preserved.
CoRoT-1,1,unmatched_other,,,,2569.815454104215,unassigned,CoRoT-1,,,,Position candidates require review; component identity is preserved.
CoRoT-10,1,unmatched_other,,,,1103.667520300579,unassigned,CoRoT-10,,,,Position candidates require review; component identity is preserved.
CoRoT-11,1,unmatched_other,,,,2136.444951904424,unassigned,CoRoT-11,,,,Position candidates require review; component identity is preserved.
CoRoT-12,1,unmatched_other,,,,3673.7275916880817,unassigned,CoRoT-12,,,,Position candidates require review; component identity is preserved.
CoRoT-13,1,unmatched_other,,,,3747.308470500979,unassigned,CoRoT-13,,,,Position candidates require review; component identity is preserved.
CoRoT-14,1,unmatched_other,,,,5690.1241656463035,unassigned,CoRoT-14,,,,Position candidates require review; component identity is preserved.
CoRoT-16,1,unmatched_other,,,,2388.7986644714224,unassigned,CoRoT-16,,,,Position candidates require review; component identity is preserved.
CoRoT-17,1,unmatched_other,,,,3835.9903896021615,unassigned,CoRoT-17,,,,Position candidates require review; component identity is preserved.
CoRoT-18,1,unmatched_other,,,,2494.734255953821,unassigned,CoRoT-18,,,,Position candidates require review; component identity is preserved.
CoRoT-19,1,unmatched_other,,,,2578.7978007465344,unassigned,CoRoT-19,,,,Position candidates require review; component identity is preserved.
CoRoT-2,1,unmatched_other,,,,695.6361070856017,unassigned,CoRoT-2,,,,Position candidates require review; component identity is preserved.
